Title,Note,URL,Tags,Comment
Pion room,,https://www.google.com/maps/place/Pion+room/data=!4m2!3m1!1s0x60188d003f64b2df:0x14e15df79ee28948,,
BOW CITY,,https://www.google.com/maps/place/BOW+CITY/data=!4m2!3m1!1s0x60188d3323b713dd:0x6b9c0482febd325b,,
LUV U 2 THE MOON HARAJUKU,,https://www.google.com/maps/place/LUV+U+2+THE+MOON+HARAJUKU/data=!4m2!3m1!1s0x60188db79f740269:0x89570fd0bbf5cc2c,,
Coalmind,,https://www.google.com/maps/place/Coalmind/data=!4m2!3m1!1s0x5ff4c9004eea2867:0x4a24fd56be951ac4,,
1 Banchō-676-2 Furumachidōri,,https://www.google.com/maps/place/1+Banch%C5%8D-676-2+Furumachid%C5%8Dri/data=!4m2!3m1!1s0x5ff4c9ea624ae8c7:0x601311cdbed742e9,,
SO NAKAMEGURO SHOP&HOSTEL Clothing store,,https://www.google.com/maps/place/SO+NAKAMEGURO+SHOP%26HOSTEL+Clothing+store/data=!4m2!3m1!1s0x60188b36d9186105:0xbca98c3c82da8e52,,
古着屋 KROOL,,https://www.google.com/maps/place/%E5%8F%A4%E7%9D%80%E5%B1%8B+KROOL/data=!4m2!3m1!1s0x6000e700d615819f:0xb6b54442fac7d5dd,,
Nude Trump,,https://www.google.com/maps/place/Nude+Trump/data=!4m2!3m1!1s0x60188ca8971f4f55:0x861445814923f361,,
LeeLoo Koenji / 古着屋,,https://www.google.com/maps/place/LeeLoo+Koenji+%2F+%E5%8F%A4%E7%9D%80%E5%B1%8B/data=!4m2!3m1!1s0x6018f373eabebaf7:0x4c525f5cc976b6a9,,
Anemone,,https://www.google.com/maps/place/Anemone/data=!4m2!3m1!1s0x6018f27d223f160d:0xb8bbc5436ef7ce1a,,
古着買取 BAZZSTORE吉祥寺ダイヤ街店(バズストア),,https://www.google.com/maps/place/%E5%8F%A4%E7%9D%80%E8%B2%B7%E5%8F%96+BAZZSTORE%E5%90%89%E7%A5%A5%E5%AF%BA%E3%83%80%E3%82%A4%E3%83%A4%E8%A1%97%E5%BA%97(%E3%83%90%E3%82%BA%E3%82%B9%E3%83%88%E3%82%A2)/data=!4m2!3m1!1s0x6018efdd638e9301:0x9f6074996930bcf5,,
FOL SHOP,,https://www.google.com/maps/place/FOL+SHOP/data=!4m2!3m1!1s0x6018f3081b1e7f4f:0x934e688e7a6f65ac,,
"Rock Shop, Hard Rock Cafe Roppongi",,"https://www.google.com/maps/place/Rock+Shop,+Hard+Rock+Cafe+Roppongi/data=!4m2!3m1!1s0x60188b9d0449010b:0x92a085ed5a83511f",,
Sanrio Gift Gate Asakusa,,https://www.google.com/maps/place/Sanrio+Gift+Gate+Asakusa/data=!4m2!3m1!1s0x60188f71c8c137d3:0x7d19e1f830cb2e1c,,
oval,,https://www.google.com/maps/place/oval/data=!4m2!3m1!1s0x6018f5b3eb3de003:0x641e9b049b73c603,,
okidoki,,https://www.google.com/maps/place/okidoki/data=!4m2!3m1!1s0x6018f35c8a8055db:0x6642244fca9054eb,,
stroboscope,,https://www.google.com/maps/place/stroboscope/data=!4m2!3m1!1s0x6018f36988f5dc85:0xae6db2a98b7ceea1,,
LOFTMAN TOKYO,,https://www.google.com/maps/place/LOFTMAN+TOKYO/data=!4m2!3m1!1s0x6018f3cf533204f3:0x40ff1d691f686bc2,,
TreFacStyle Tachikawa,,https://www.google.com/maps/place/TreFacStyle+Tachikawa/data=!4m2!3m1!1s0x6018e170c4af5a5f:0x4ba311cacdf3a3ea,,
BOOKOFF SUPER BAZAAR Tachikawa Station North Exit Store,,https://www.google.com/maps/place/BOOKOFF+SUPER+BAZAAR+Tachikawa+Station+North+Exit+Store/data=!4m2!3m1!1s0x6018e1707eb2201f:0x7e428fb225bb26fc,,
RAGTAGルミネ立川店,,https://www.google.com/maps/place/RAGTAG%E3%83%AB%E3%83%9F%E3%83%8D%E7%AB%8B%E5%B7%9D%E5%BA%97/data=!4m2!3m1!1s0x6018e1df04926459:0x4e5241fdba44eb92,,
2nd Street Tachikawa,,https://www.google.com/maps/place/2nd+Street+Tachikawa/data=!4m2!3m1!1s0x6018e170074c69b7:0xf732342a35c38d9c,,
SUNSET,,https://www.google.com/maps/place/SUNSET/data=!4m2!3m1!1s0x6018e164cbbeaaab:0x4d759f3f0c34fe75,,
cosmic__sendai,,https://www.google.com/maps/place/cosmic__sendai/data=!4m2!3m1!1s0x5f8a29000f428e4b:0xf52e41b28b68e46b,,
Luxury&Vintage Kasacolle【カサコレ】,,https://www.google.com/maps/place/Luxury%26Vintage+Kasacolle%E3%80%90%E3%82%AB%E3%82%B5%E3%82%B3%E3%83%AC%E3%80%91/data=!4m2!3m1!1s0x60188d4a930d78dd:0x6b928c82a92d918f,,
Léon 新宿店,,https://www.google.com/maps/place/L%C3%A9on+%E6%96%B0%E5%AE%BF%E5%BA%97/data=!4m2!3m1!1s0x60188d0cd65e5899:0x4ab6da0b37092187,,
DC BANK,,https://www.google.com/maps/place/DC+BANK/data=!4m2!3m1!1s0x60188cdb81d5f3d9:0x49358a5353a44d70,,
AFTER-FIVE,,https://www.google.com/maps/place/AFTER-FIVE/data=!4m2!3m1!1s0x601887baee3dca7b:0xd6e655e1d40d8670,,
ROMA,,https://www.google.com/maps/place/ROMA/data=!4m2!3m1!1s0x60189dc44f90aebd:0x9d6603b173c94796,,
BOOKOFF SUPER BAZAAR 14gou Chiba Makuhari Store,,https://www.google.com/maps/place/BOOKOFF+SUPER+BAZAAR+14gou+Chiba+Makuhari+Store/data=!4m2!3m1!1s0x60228185f1dfbbb5:0x80ace90cf579d9eb,,
